issuer,processing_year,processing_month,processing_day,plan_year,filename,logical_filename,source_path,nested_relative,file_timestamp,parsed_timestamp,issuer_mismatch,plan_year_differs_from_processing_year,filename_parse_ok
60224,2026,02,11,2026,to_60224_INDV_MONTHLYDISCREPANCY_2026_20260211181211.OUT.good.gz,to_60224_INDV_MONTHLYDISCREPANCY_2026_20260211181211.OUT.good,/archive/out/good/PAS/60224/2026/02/11/3558332_113479382188/to_60224_INDV_MONTHLYDISCREPANCY_2026_20260211181211.OUT.good.gz,3558332_113479382188,20260211181211,2026-02-11 18:12:11,False,False,True
60224,2026,02,11,2025,to_60224_INDV_MONTHLYDISCREPANCY_2025_20260211180812.OUT.good.gz,to_60224_INDV_MONTHLYDISCREPANCY_2025_20260211180812.OUT.good,/archive/out/good/PAS/60224/2026/02/11/3558332_896427681824/to_60224_INDV_MONTHLYDISCREPANCY_2025_20260211180812.OUT.good.gz,3558332_896427681824,20260211180812,2026-02-11 18:08:12,False,True,True
64357,2026,01,18,2026,to_64357_INDV_MONTHLYDISCREPANCY_2026_20260118221646.OUT.good.gz,to_64357_INDV_MONTHLYDISCREPANCY_2026_20260118221646.OUT.good,/archive/out/good/PAS/64357/2026/01/18/30434_468231264180/to_64357_INDV_MONTHLYDISCREPANCY_2026_20260118221646.OUT.good.gz,30434_468231264180,20260118221646,2026-01-18 22:16:46,False,False,True
64357,2026,02,25,2026,to_64357_INDV_MONTHLYDISCREPANCY_2026_20260225100758.OUT.good.gz,to_64357_INDV_MONTHLYDISCREPANCY_2026_20260225100758.OUT.good,/archive/out/good/PAS/64357/2026/02/25/3558332_515690820073/to_64357_INDV_MONTHLYDISCREPANCY_2026_20260225100758.OUT.good.gz,3558332_515690820073,20260225100758,2026-02-25 10:07:58,False,False,True
68806,2026,01,14,2026,to_68806_INDV_MONTHLYDISCREPANCY_2026_20260115021334.OUT.good.gz,to_68806_INDV_MONTHLYDISCREPANCY_2026_20260115021334.OUT.good,/archive/out/good/PAS/68806/2026/01/14/30434_337895820654/to_68806_INDV_MONTHLYDISCREPANCY_2026_20260115021334.OUT.good.gz,30434_337895820654,20260115021334,2026-01-15 02:13:34,False,False,True
68806,2026,02,14,2026,to_68806_INDV_MONTHLYDISCREPANCY_2026_20260214230123.OUT.good.gz,to_68806_INDV_MONTHLYDISCREPANCY_2026_20260214230123.OUT.good,/archive/out/good/PAS/68806/2026/02/14/3558332_220988495408/to_68806_INDV_MONTHLYDISCREPANCY_2026_20260214230123.OUT.good.gz,3558332_220988495408,20260214230123,2026-02-14 23:01:23,False,False,True
68806,2026,02,19,2025,to_68806_INDV_MONTHLYDISCREPANCY_2025_20260219223507.OUT.good.gz,to_68806_INDV_MONTHLYDISCREPANCY_2025_20260219223507.OUT.good,/archive/out/good/PAS/68806/2026/02/19/3558332_546943580132/to_68806_INDV_MONTHLYDISCREPANCY_2025_20260219223507.OUT.good.gz,3558332_546943580132,20260219223507,2026-02-19 22:35:07,False,True,True
70893,2026,01,07,2025,to_70893_INDV_MONTHLYDISCREPANCY_2025_20260107070956.OUT.good.gz,to_70893_INDV_MONTHLYDISCREPANCY_2025_20260107070956.OUT.good,/archive/out/good/PAS/70893/2026/01/07/30434_342668602058/to_70893_INDV_MONTHLYDISCREPANCY_2025_20260107070956.OUT.good.gz,30434_342668602058,20260107070956,2026-01-07 07:09:56,False,True,True
70893,2026,01,10,2026,to_70893_INDV_MONTHLYDISCREPANCY_2026_20260110050148.OUT.good.gz,to_70893_INDV_MONTHLYDISCREPANCY_2026_20260110050148.OUT.good,/archive/out/good/PAS/70893/2026/01/10/30434_333077562441/to_70893_INDV_MONTHLYDISCREPANCY_2026_20260110050148.OUT.good.gz,30434_333077562441,20260110050148,2026-01-10 05:01:48,False,False,True
70893,2026,01,27,2026,to_70893_INDV_MONTHLYDISCREPANCY_2026_20260127224526.OUT.good.gz,to_70893_INDV_MONTHLYDISCREPANCY_2026_20260127224526.OUT.good,/archive/out/good/PAS/70893/2026/01/27/3558332_117698311217/to_70893_INDV_MONTHLYDISCREPANCY_2026_20260127224526.OUT.good.gz,3558332_117698311217,20260127224526,2026-01-27 22:45:26,False,False,True
70893,2026,01,28,2025,to_70893_INDV_MONTHLYDISCREPANCY_2025_20260128161319.OUT.good.gz,to_70893_INDV_MONTHLYDISCREPANCY_2025_20260128161319.OUT.good,/archive/out/good/PAS/70893/2026/01/28/3558332_720583805978/to_70893_INDV_MONTHLYDISCREPANCY_2025_20260128161319.OUT.good.gz,3558332_720583805978,20260128161319,2026-01-28 16:13:19,False,True,True
70893,2026,02,06,2026,to_70893_INDV_MONTHLYDISCREPANCY_2026_20260206052654.OUT.good.gz,to_70893_INDV_MONTHLYDISCREPANCY_2026_20260206052654.OUT.good,/archive/out/good/PAS/70893/2026/02/06/3558332_195682004836/to_70893_INDV_MONTHLYDISCREPANCY_2026_20260206052654.OUT.good.gz,3558332_195682004836,20260206052654,2026-02-06 05:26:54,False,False,True
70893,2026,02,06,2025,to_70893_INDV_MONTHLYDISCREPANCY_2025_20260206043420.OUT.good.gz,to_70893_INDV_MONTHLYDISCREPANCY_2025_20260206043420.OUT.good,/archive/out/good/PAS/70893/2026/02/06/3558332_60162361308/to_70893_INDV_MONTHLYDISCREPANCY_2025_20260206043420.OUT.good.gz,3558332_60162361308,20260206043420,2026-02-06 04:34:20,False,True,True
70893,2026,02,13,2026,to_70893_INDV_MONTHLYDISCREPANCY_2026_20260213123838.OUT.good.gz,to_70893_INDV_MONTHLYDISCREPANCY_2026_20260213123838.OUT.good,/archive/out/good/PAS/70893/2026/02/13/3558332_634661555531/to_70893_INDV_MONTHLYDISCREPANCY_2026_20260213123838.OUT.good.gz,3558332_634661555531,20260213123838,2026-02-13 12:38:38,False,False,True
70893,2026,02,27,2025,to_70893_INDV_MONTHLYDISCREPANCY_2025_20260227233905.OUT.good.gz,to_70893_INDV_MONTHLYDISCREPANCY_2025_20260227233905.OUT.good,/archive/out/good/PAS/70893/2026/02/27/3558332_780505780698/to_70893_INDV_MONTHLYDISCREPANCY_2025_20260227233905.OUT.good.gz,3558332_780505780698,20260227233905,2026-02-27 23:39:05,False,True,True
82824,2026,01,06,2025,to_82824_INDV_MONTHLYDISCREPANCY_2025_20260106070252.OUT.good.gz,to_82824_INDV_MONTHLYDISCREPANCY_2025_20260106070252.OUT.good,/archive/out/good/PAS/82824/2026/01/06/1756814_977436264752/to_82824_INDV_MONTHLYDISCREPANCY_2025_20260106070252.OUT.good.gz,1756814_977436264752,20260106070252,2026-01-06 07:02:52,False,True,True
82824,2026,02,06,2025,to_82824_INDV_MONTHLYDISCREPANCY_2025_20260206034718.OUT.good.gz,to_82824_INDV_MONTHLYDISCREPANCY_2025_20260206034718.OUT.good,/archive/out/good/PAS/82824/2026/02/06/3558332_597250980425/to_82824_INDV_MONTHLYDISCREPANCY_2025_20260206034718.OUT.good.gz,3558332_597250980425,20260206034718,2026-02-06 03:47:18,False,True,True
83502,2026,01,06,2025,to_83502_INDV_MONTHLYDISCREPANCY_2025_20260106065302.OUT.good.gz,to_83502_INDV_MONTHLYDISCREPANCY_2025_20260106065302.OUT.good,/archive/out/good/PAS/83502/2026/01/06/1756814_433388650662/to_83502_INDV_MONTHLYDISCREPANCY_2025_20260106065302.OUT.good.gz,1756814_433388650662,20260106065302,2026-01-06 06:53:02,False,True,True
83502,2026,01,06,2026,to_83502_INDV_MONTHLYDISCREPANCY_2026_20260106065316.OUT.good.gz,to_83502_INDV_MONTHLYDISCREPANCY_2026_20260106065316.OUT.good,/archive/out/good/PAS/83502/2026/01/06/1756814_85146253350/to_83502_INDV_MONTHLYDISCREPANCY_2026_20260106065316.OUT.good.gz,1756814_85146253350,20260106065316,2026-01-06 06:53:16,False,False,True
83502,2026,02,06,2025,to_83502_INDV_MONTHLYDISCREPANCY_2025_20260206033500.OUT.good.gz,to_83502_INDV_MONTHLYDISCREPANCY_2025_20260206033500.OUT.good,/archive/out/good/PAS/83502/2026/02/06/3558332_232746334619/to_83502_INDV_MONTHLYDISCREPANCY_2025_20260206033500.OUT.good.gz,3558332_232746334619,20260206033500,2026-02-06 03:35:00,False,True,True
83502,2026,02,06,2026,to_83502_INDV_MONTHLYDISCREPANCY_2026_20260206033453.OUT.good.gz,to_83502_INDV_MONTHLYDISCREPANCY_2026_20260206033453.OUT.good,/archive/out/good/PAS/83502/2026/02/06/3558332_83866168274/to_83502_INDV_MONTHLYDISCREPANCY_2026_20260206033453.OUT.good.gz,3558332_83866168274,20260206033453,2026-02-06 03:34:53,False,False,True
83761,2026,01,06,2025,to_83761_INDV_MONTHLYDISCREPANCY_2025_20260106065957.OUT.good.gz,to_83761_INDV_MONTHLYDISCREPANCY_2025_20260106065957.OUT.good,/archive/out/good/PAS/83761/2026/01/06/1756814_106362639357/to_83761_INDV_MONTHLYDISCREPANCY_2025_20260106065957.OUT.good.gz,1756814_106362639357,20260106065957,2026-01-06 06:59:57,False,True,True
83761,2026,01,07,2026,to_83761_INDV_MONTHLYDISCREPANCY_2026_20260107211333.OUT.good.gz,to_83761_INDV_MONTHLYDISCREPANCY_2026_20260107211333.OUT.good,/archive/out/good/PAS/83761/2026/01/07/30434_413597021429/to_83761_INDV_MONTHLYDISCREPANCY_2026_20260107211333.OUT.good.gz,30434_413597021429,20260107211333,2026-01-07 21:13:33,False,False,True
83761,2026,02,05,2026,to_83761_INDV_MONTHLYDISCREPANCY_2026_20260206015606.OUT.good.gz,to_83761_INDV_MONTHLYDISCREPANCY_2026_20260206015606.OUT.good,/archive/out/good/PAS/83761/2026/02/05/3558332_149563701115/to_83761_INDV_MONTHLYDISCREPANCY_2026_20260206015606.OUT.good.gz,3558332_149563701115,20260206015606,2026-02-06 01:56:06,False,False,True
86637,2026,01,15,2026,to_86637_INDV_MONTHLYDISCREPANCY_2026_20260115202859.OUT.good.gz,to_86637_INDV_MONTHLYDISCREPANCY_2026_20260115202859.OUT.good,/archive/out/good/PAS/86637/2026/01/15/30434_614591093785/to_86637_INDV_MONTHLYDISCREPANCY_2026_20260115202859.OUT.good.gz,30434_614591093785,20260115202859,2026-01-15 20:28:59,False,False,True
86637,2026,01,22,2025,to_86637_INDV_MONTHLYDISCREPANCY_2025_20260122225517.OUT.good.gz,to_86637_INDV_MONTHLYDISCREPANCY_2025_20260122225517.OUT.good,/archive/out/good/PAS/86637/2026/01/22/30434_52317462883/to_86637_INDV_MONTHLYDISCREPANCY_2025_20260122225517.OUT.good.gz,30434_52317462883,20260122225517,2026-01-22 22:55:17,False,True,True
86637,2026,02,12,2026,to_86637_INDV_MONTHLYDISCREPANCY_2026_20260212042145.OUT.good.gz,to_86637_INDV_MONTHLYDISCREPANCY_2026_20260212042145.OUT.good,/archive/out/good/PAS/86637/2026/02/12/3558332_892328911023/to_86637_INDV_MONTHLYDISCREPANCY_2026_20260212042145.OUT.good.gz,3558332_892328911023,20260212042145,2026-02-12 04:21:45,False,False,True
89942,2026,01,04,2025,to_89942_INDV_MONTHLYDISCREPANCY_2025_20260104052311.OUT.good.gz,to_89942_INDV_MONTHLYDISCREPANCY_2025_20260104052311.OUT.good,/archive/out/good/PAS/89942/2026/01/04/1756814_798212090611/to_89942_INDV_MONTHLYDISCREPANCY_2025_20260104052311.OUT.good.gz,1756814_798212090611,20260104052311,2026-01-04 05:23:11,False,True,True
89942,2026,01,04,2026,to_89942_INDV_MONTHLYDISCREPANCY_2026_20260104052816.OUT.good.gz,to_89942_INDV_MONTHLYDISCREPANCY_2026_20260104052816.OUT.good,/archive/out/good/PAS/89942/2026/01/04/1756814_896761075307/to_89942_INDV_MONTHLYDISCREPANCY_2026_20260104052816.OUT.good.gz,1756814_896761075307,20260104052816,2026-01-04 05:28:16,False,False,True
